DateTime,Load (kW)
1/1/2017 0:00,0.805
1/1/2017 1:00,0.8025
1/1/2017 2:00,0.46
1/1/2017 3:00,0.48825
1/1/2017 4:00,0.4635
1/1/2017 5:00,0.47825
1/1/2017 6:00,0.52775
1/1/2017 7:00,0.66125
1/1/2017 8:00,0.67025
1/1/2017 9:00,4.3035
1/1/2017 10:00,6.31875
1/1/2017 11:00,6.16875
1/1/2017 12:00,2.40025
1/1/2017 13:00,2.1165
1/1/2017 14:00,3.28875
1/1/2017 15:00,1.59725
1/1/2017 16:00,1.319
1/1/2017 17:00,1.48925
1/1/2017 18:00,1.536
1/1/2017 19:00,3.74825
1/1/2017 20:00,1.532
1/1/2017 21:00,1.06475
1/1/2017 22:00,0.60775
1/1/2017 23:00,0.59
1/2/2017 0:00,0.554
1/2/2017 1:00,0.528
1/2/2017 2:00,0.5385
1/2/2017 3:00,0.52725
1/2/2017 4:00,0.52675
1/2/2017 5:00,0.536
1/2/2017 6:00,0.59775
1/2/2017 7:00,1.54775
1/2/2017 8:00,1.53975
1/2/2017 9:00,1.6405
1/2/2017 10:00,2.79625
1/2/2017 11:00,3.177
1/2/2017 12:00,1.314
1/2/2017 13:00,1.24875
1/2/2017 14:00,1.23475
1/2/2017 15:00,1.25425
1/2/2017 16:00,1.286
1/2/2017 17:00,1.64475
1/2/2017 18:00,3.8965
1/2/2017 19:00,1.37925
1/2/2017 20:00,1.3165
1/2/2017 21:00,1.14675
1/2/2017 22:00,0.51475
1/2/2017 23:00,0.42725
1/3/2017 0:00,0.51975
1/3/2017 1:00,0.42125
1/3/2017 2:00,0.44175
1/3/2017 3:00,0.42
1/3/2017 4:00,0.43425
1/3/2017 5:00,0.3785
1/3/2017 6:00,0.749
1/3/2017 7:00,1.615
1/3/2017 8:00,2.71725
1/3/2017 9:00,3.0115
1/3/2017 10:00,4.001
1/3/2017 11:00,4.162
1/3/2017 12:00,1.53775
1/3/2017 13:00,1.49675
1/3/2017 14:00,1.32025
1/3/2017 15:00,1.335
1/3/2017 16:00,2.4855
1/3/2017 17:00,2.81625
1/3/2017 18:00,2.118
1/3/2017 19:00,1.37375
1/3/2017 20:00,1.28475
1/3/2017 21:00,1.15875
1/3/2017 22:00,0.5335
1/3/2017 23:00,0.47325
1/4/2017 0:00,0.453
1/4/2017 1:00,0.41125
1/4/2017 2:00,0.433
1/4/2017 3:00,0.72725
1/4/2017 4:00,1.2295
1/4/2017 5:00,1.7555
1/4/2017 6:00,2.414
1/4/2017 7:00,3.161
1/4/2017 8:00,4.11175
1/4/2017 9:00,4.83425
1/4/2017 10:00,5.77525
1/4/2017 11:00,7.57475
1/4/2017 12:00,5.66775
1/4/2017 13:00,6.123
1/4/2017 14:00,2.47725
1/4/2017 15:00,1.45175
1/4/2017 16:00,2.23875
1/4/2017 17:00,2.251
1/4/2017 18:00,2.634
1/4/2017 19:00,2.21375
1/4/2017 20:00,2.70775
1/4/2017 21:00,3.1725
1/4/2017 22:00,1.211
1/4/2017 23:00,1.28825
1/5/2017 0:00,1.7285
1/5/2017 1:00,2.54775
1/5/2017 2:00,2.71
1/5/2017 3:00,2.637
1/5/2017 4:00,2.68475
1/5/2017 5:00,2.56125
1/5/2017 6:00,2.79325
1/5/2017 7:00,3.43725
1/5/2017 8:00,2.84575
1/5/2017 9:00,2.8015
1/5/2017 10:00,7.04425
1/5/2017 11:00,6.17425
1/5/2017 12:00,3.548
1/5/2017 13:00,2.291
1/5/2017 14:00,2.05425
1/5/2017 15:00,1.5625
1/5/2017 16:00,4.63175
1/5/2017 17:00,3.32725
1/5/2017 18:00,2.767
1/5/2017 19:00,2.083
1/5/2017 20:00,2.728
1/5/2017 21:00,2.35775
1/5/2017 22:00,1.2405
1/5/2017 23:00,1.68275
1/6/2017 0:00,3.27325
1/6/2017 1:00,3.2925
1/6/2017 2:00,3.7195
1/6/2017 3:00,4.06525
1/6/2017 4:00,4.41725
1/6/2017 5:00,4.3075
1/6/2017 6:00,4.11575
1/6/2017 7:00,5.163
1/6/2017 8:00,6.229
1/6/2017 9:00,6.27475
1/6/2017 10:00,7.904
1/6/2017 11:00,7.51825
1/6/2017 12:00,6.00625
1/6/2017 13:00,7.04625
1/6/2017 14:00,6.8515
1/6/2017 15:00,7.91825
1/6/2017 16:00,6.15625
1/6/2017 17:00,5.85525
1/6/2017 18:00,5.84875
1/6/2017 19:00,5.796
1/6/2017 20:00,5.4885
1/6/2017 21:00,4.135
1/6/2017 22:00,2.4615
1/6/2017 23:00,3.44825
1/7/2017 0:00,5.158
1/7/2017 1:00,4.54175
1/7/2017 2:00,5.01825
1/7/2017 3:00,5.697
1/7/2017 4:00,5.006
1/7/2017 5:00,5.60625
1/7/2017 6:00,5.5055
1/7/2017 7:00,5.83925
1/7/2017 8:00,6.67725
1/7/2017 9:00,6.93325
1/7/2017 10:00,7.796
1/7/2017 11:00,9.4305
1/7/2017 12:00,6.452
1/7/2017 13:00,6.4105
1/7/2017 14:00,6.19925
1/7/2017 15:00,5.2785
1/7/2017 16:00,5.277
1/7/2017 17:00,4.779
1/7/2017 18:00,4.7085
1/7/2017 19:00,4.84075
1/7/2017 20:00,5.1885
1/7/2017 21:00,4.58425
1/7/2017 22:00,1.29375
1/7/2017 23:00,3.2995
1/8/2017 0:00,4.16
1/8/2017 1:00,4.5595
1/8/2017 2:00,4.917
1/8/2017 3:00,4.80025
1/8/2017 4:00,5.48475
1/8/2017 5:00,4.84625
1/8/2017 6:00,5.25775
1/8/2017 7:00,6.17375
1/8/2017 8:00,5.30275
1/8/2017 9:00,5.8805
1/8/2017 10:00,7.345
1/8/2017 11:00,8.48425
1/8/2017 12:00,6.04775
1/8/2017 13:00,5.9805
1/8/2017 14:00,5.58275
1/8/2017 15:00,3.51875
1/8/2017 16:00,2.118
1/8/2017 17:00,1.38375
1/8/2017 18:00,3.17225
1/8/2017 19:00,4.2265
1/8/2017 20:00,3.70125
1/8/2017 21:00,3.1405
1/8/2017 22:00,1.212
1/8/2017 23:00,1.707
1/9/2017 0:00,2.11725
1/9/2017 1:00,2.866
1/9/2017 2:00,2.86975
1/9/2017 3:00,2.80525
1/9/2017 4:00,2.951
1/9/2017 5:00,3.2895
1/9/2017 6:00,3.04625
1/9/2017 7:00,3.3635
1/9/2017 8:00,3.64725
1/9/2017 9:00,5.53625
1/9/2017 10:00,4.016
1/9/2017 11:00,4.0675
1/9/2017 12:00,2.3215
1/9/2017 13:00,0.9865
1/9/2017 14:00,0.965
1/9/2017 15:00,1.01725
1/9/2017 16:00,0.828
1/9/2017 17:00,2.85875
1/9/2017 18:00,1.252
1/9/2017 19:00,2.599
1/9/2017 20:00,0.76025
1/9/2017 21:00,0.80275
1/9/2017 22:00,0.54725
1/9/2017 23:00,0.54825
1/10/2017 0:00,0.4025
1/10/2017 1:00,0.7025
1/10/2017 2:00,0.72575
1/10/2017 3:00,0.39825
1/10/2017 4:00,0.72725
1/10/2017 5:00,0.68575
1/10/2017 6:00,0.921
1/10/2017 7:00,1.46925
1/10/2017 8:00,1.448
1/10/2017 9:00,1.26325
1/10/2017 10:00,2.7365
1/10/2017 11:00,2.40825
1/10/2017 12:00,1.2645
1/10/2017 13:00,3.18625
1/10/2017 14:00,1.849
1/10/2017 15:00,0.79375
1/10/2017 16:00,0.95275
